transpotation,start,-,-,-,end,-,-,-,-,-,-,-,-,,
type,date,country,region,type,type,date,country,region,type,time(Min),price,currency,memo,,
Bus,2022/10/25,ECU,Quito,Central,2022/10/25,ECU,Quito,Central,2,5,0.35,USD,-,,
Bus,2022/10/25,ECU,Quito,Central,2022/10/25,ECU,Quito,Central,5,10,0.35,USD,-,,
Taxi,2022/10/25,ECU,Quito,Central,2022/10/25,ECU,Quito,Inn,2,5,2,USD,-,,
Bus,2022/10/26,ECU,Quito,Inn,2022/10/26,ECU,Quito,Terminal,20,60,0.35,USD,-,,
Bus,2022/10/26,ECU,Quito,Terminal,2022/10/26,ECU,ibara,Terminal,110,180,2,USD,-,,
Taxi,2022/10/27,ECU,ibara,Inn,2022/10/27,ECU,ibara,Hospital,3,10,5,USD,-,,
Taxi,2022/10/27,ECU,ibara,Hospital,2022/10/27,ECU,ibara,Terminal,3,10,5,USD,-,,
Bus,2022/10/27,ECU,ibara,Terminal,2022/10/27,ECU,Otavalo,Terminal,24,30,0.5,USD,-,,
Taxi,2022/10/27,ECU,Otavalo,Terminal,2022/10/27,ECU,Otavalo,Inn,1,5,1.2,USD,-,,
Bus,2022/10/29,ECU,Otavalo,Terminal,2022/10/29,ECU,Quito,Terminal,83,120,1.5,USD,-,,
Bus,2022/10/29,ECU,Quito,Terminal,2022/10/29,ECU,Quito,Central,10,60,0.35,USD,-,,
Bus,2022/10/30,ECU,Quito,Central,2022/10/30,ECU,Quito,Terminal,20,20,0.35,USD,-,,
Bus,2022/10/30,ECU,Quito,Terminal,2022/10/30,ECU,Santo Domingo,Terminal,127,180,4.25,USD,-,,
Taxi,2022/10/30,ECU,Santo Domingo,Terminal,2022/10/30,ECU,Santo Domingo,Inn,4,10,2.75,USD,-,,
Bus,2022/10/30,ECU,Santo Domingo,Inn,2022/10/30,ECU,Santo Domingo,Central,4.2,15,0.4,USD,-,,
Bus,2022/10/30,ECU,Santo Domingo,Central,2022/10/30,ECU,Santo Domingo,Inn,4.2,15,0.4,USD,-,,
Taxi,2022/10/31,ECU,Santo Domingo,Inn,2022/10/31,ECU,Santo Domingo,Terminal,5.7,15,5,USD,-,,
Bus,2022/10/31,ECU,Santo Domingo,Terminal,2022/10/31,ECU,manta,Terminal,247,360,8.05,USD,-,,
Bus,2022/10/31,ECU,manta,Terminal,2022/10/31,ECU,manta,Central,8.3,15,0.4,USD,-,,
Taxi,2022/11/1,ECU,manta,Central,2022/11/1,ECU,manta,Terminal,8.3,15,3,USD,-,,
Bus,2022/11/1,ECU,manta,Terminal,2022/11/1,ECU,Santa Elina,Terminal,209,240,7.5,USD,-,,
Bus,2022/11/1,ECU,Santa Elina,Terminal,2022/11/1,ECU,Salinas,Stop,14,30,0.25,USD,-,,
Bus,2022/11/2,ECU,Salinas,Stop,2022/11/2,ECU,Santa Elina,Terminal,14,30,0.35,USD,-,,
Bus,2022/11/2,ECU,Santa Elina,Terminal,2022/11/2,ECU,Santiago de Guayaquil,Terminal,128,120,4.95,USD,-,,
Bus,2022/11/2,ECU,Santiago de Guayaquil,Terminal,2022/11/2,ECU,Santiago de Guayaquil,Inn,2,5,0.3,USD,-,,
Bus,2022/11/2,ECU,Santiago de Guayaquil,Inn,2022/11/2,ECU,Santiago de Guayaquil,Central,5,30,0.3,USD,-,,
Ropeway,2022/11/2,ECU,Santiago de Guayaquil,Central,2022/11/2,ECU,Santiago de Guayaquil,Central,1,5,0.3,USD,-,,
Ropeway,2022/11/2,ECU,Santiago de Guayaquil,Central,2022/11/2,ECU,Santiago de Guayaquil,Central,3,15,0.3,USD,-,,
Bus,2022/11/2,ECU,Santiago de Guayaquil,Central,2022/11/2,ECU,Santiago de Guayaquil,Inn,5,30,0.3,USD,-,,
Bus,2022/11/3,ECU,Santiago de Guayaquil,Inn,2022/11/3,ECU,Santiago de Guayaquil,AirPort,2,5,0.3,USD,-,,
Bus,2022/11/3,ECU,Santiago de Guayaquil,AirPort,2022/11/3,ECU,Santiago de Guayaquil,Central,5,15,0.3,USD,-,,
Bus,2022/11/3,ECU,Santiago de Guayaquil,Central,2022/11/3,ECU,Santiago de Guayaquil,Inn,5,30,0.3,USD,-,,
Bus,2022/11/4,ECU,Santiago de Guayaquil,Inn,2022/11/4,ECU,Santiago de Guayaquil,Terminal,2,5,0.3,USD,-,,
Bus,2022/11/4,ECU,Santiago de Guayaquil,Terminal,2022/11/4,ECU,riobamba,Terminal,229,300,8.05,USD,-,,
